CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
H4GA14099,"BLALOCK, CLARENCE",C,1,DEMOCRAT,42319.74,0.0,33862.93,0.0,200.0,8656.81,0.0,29880.0,0.0,0.0,0.0,29880.0,12439.74,GA,14,0.0,0.0,12/31/2024,0.0,0.0
H0GA06192,"GREENE, MARJORIE TAYLOR",I,2,REPUBLICAN,8960241.51,84469.41,10062930.19,8000.0,1958194.38,855505.7,0.0,0.0,0.0,600000.0,350000.0,0.0,8830041.34,GA,14,35250.0,0.0,12/31/2024,67694.7,0.0
H4GU01011,"SHELTON, AMANDA LEE",C,1,DEMOCRAT,166380.6,0.0,159751.18,0.0,0.0,6629.42,0.0,0.0,0.0,0.0,0.0,0.0,166380.6,GU,00,0.0,0.0,12/31/2024,0.0,0.0
H4GU01029,"CRUZ, GINGER",C,1,DEMOCRAT,681967.18,0.0,682492.48,0.0,0.0,-18008.77,262500.0,200000.0,0.0,0.0,0.0,200000.0,211536.96,GU,00,5000.0,2500.0,12/31/2024,0.0,0.0
H8GU01020,"SAN NICOLAS, MICHAEL F.Q. MR.",C,1,DEMOCRAT,24442.0,0.0,39765.5,0.0,15610.85,287.35,0.0,0.0,0.0,0.0,0.0,30086.78,24442.0,GU,00,0.0,0.0,12/31/2024,0.0,0.0
H2GU01031,"MOYLAN, JAMES C.",I,2,REPUBLICAN,288357.0,0.0,285559.21,0.0,1226.58,4024.37,0.0,0.0,0.0,0.0,0.0,0.0,284857.0,GU,00,3500.0,0.0,12/31/2024,0.0,0.0
H2HI02128,"CASE, EDWARD",I,1,DEMOCRAT,700463.15,0.0,891335.38,0.0,507530.31,316658.08,0.0,0.0,0.0,0.0,0.0,0.0,152921.51,HI,01,546518.02,0.0,12/31/2024,0.0,0.0
H2HI02581,"TOKUDA, JILL NAOMI",I,1,DEMOCRAT,989460.69,0.0,706756.02,24000.0,200736.04,483440.71,331.27,0.0,0.0,0.0,0.0,0.0,663275.85,HI,02,316718.53,0.0,12/31/2024,1218.51,17800.0
H2IA02111,"BOHANNAN, CHRISTINA",C,1,DEMOCRAT,6900996.18,188741.14,6823503.73,9000.0,29724.93,107217.38,12187.51,0.0,0.0,0.0,0.0,23632.73,5963508.86,IA,01,572002.75,27397.0,12/31/2024,17021.68,2090.91
H4IA01127,"PAUTSCH, DAVID ALFRED",C,2,REPUBLICAN,43080.73,0.0,38382.24,0.0,1000.0,5698.49,4469.33,0.0,0.0,0.0,0.0,0.0,33611.4,IA,01,5000.0,0.0,12/31/2024,0.0,0.0
H8IA02043,"MILLER-MEEKS, MARIANNETTE JANE",I,2,REPUBLICAN,5800753.74,850204.01,5755348.76,135856.63,328338.42,373743.4,0.0,42000.0,0.0,42000.0,0.0,0.0,2234639.1,IA,01,2340483.24,8000.0,12/31/2024,71259.38,23600.0
H4IA02067,"ALBERTSON-CORKERY, SARAH ELAINE",C,1,DEMOCRAT,510625.86,0.0,501481.18,0.0,0.0,9144.68,3400.0,0.0,0.0,0.0,0.0,0.0,477091.38,IA,02,15500.0,12948.0,12/31/2024,949.0,0.0
H0IA01174,"ARENHOLZ, ASHLEY HINSON",I,2,REPUBLICAN,5600532.3,801620.24,3740906.41,0.0,68449.51,1928075.4,0.0,0.0,0.0,0.0,0.0,0.0,3253294.79,IA,02,1522306.52,5500.0,12/31/2024,12400.0,5000.0
H4IA02091,"PUFFETT, JODY MARIE",C,3,OTHER,30406.39,0.0,29499.4,0.0,0.0,906.99,24992.11,0.0,0.0,0.0,0.0,0.0,5414.28,IA,02,0.0,0.0,12/31/2024,0.0,0.0
H4IA03164,"VINE, MELISSA",C,1,DEMOCRAT,165417.16,0.0,165417.16,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,163857.16,IA,03,1000.0,250.0,06/20/2024,3345.0,0.0
H4IA03172,"BACCAM, LANON",C,1,DEMOCRAT,5610180.06,737325.23,5585059.27,0.0,0.0,25120.79,0.0,0.0,0.0,0.0,0.0,0.0,4359107.59,IA,03,487769.44,25830.0,12/31/2024,42507.11,2000.0
H2IA03119,"NUNN, ZACH",I,2,REPUBLICAN,5809115.93,892526.63,5857350.2,16645.19,101067.66,52833.39,0.0,0.0,0.0,0.0,0.0,0.0,2778090.39,IA,03,2095030.0,11500.0,12/31/2024,41268.35,11000.0
H4IA03180,"WIEDERIEN, JOSEPH MICHAEL",C,3,OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IA,03,0.0,0.0,09/30/2024,0.0,0.0
H2IA04141,"MELTON, RYAN MICHAEL APPLETON",C,1,DEMOCRAT,153144.37,0.0,155195.04,0.0,4096.89,2897.22,0.0,0.0,0.0,0.0,0.0,0.0,136824.14,IA,04,1920.0,14178.32,12/31/2024,0.0,0.0
H0IA04145,"FEENSTRA, RANDALL",I,2,REPUBLICAN,4301278.48,132638.26,4154572.67,143335.0,1023688.68,1170394.49,0.0,0.0,0.0,0.0,0.0,0.0,2091313.01,IA,04,1973315.07,5000.0,12/31/2024,20517.96,14000.0
H4IA04139,"VIRGIL, KEVIN",C,2,REPUBLICAN,108167.06,0.0,108167.06,0.0,0.0,0.0,1825.0,0.0,0.0,0.0,0.0,13963.21,104341.0,IA,04,2000.0,0.0,12/31/2024,0.0,0.0
H2ID01192,"PETERSON, KAYLEE JADE",C,1,DEMOCRAT,190323.14,0.0,187640.55,0.0,2708.74,5391.32,3400.0,0.0,0.0,0.0,0.0,0.0,174053.96,ID,01,9269.18,3600.0,12/31/2024,0.0,3100.0
H8ID01124,"FULCHER, RUSSELL",I,2,REPUBLICAN,637624.63,0.0,626902.72,0.0,169286.81,180008.72,0.0,0.0,0.0,0.0,0.0,0.0,275899.51,ID,01,350950.0,0.0,12/31/2024,3.15,200.0
H4ID01149,"GOMEZ, BRENDAN JOSEPH",C,3,OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID,01,0.0,0.0,12/31/2024,0.0,0.0
H4ID02089,"ROTH, DAVID",C,1,DEMOCRAT,104431.35,0.0,100581.05,0.0,0.0,665.77,197.64,0.0,0.0,0.0,0.0,7822.08,102146.67,ID,02,275.0,1500.0,12/31/2024,3390.0,0.0
H4ID02097,"HIGGINS, SEAN",C,2,REPUBLICAN,5364.35,0.0,1021.34,0.0,0.0,4343.01,0.0,5000.0,0.0,0.0,0.0,5648.31,364.35,ID,02,0.0,0.0,05/01/2024,0.0,0.0
H4ID02105,"CLEVELAND, SCOTT",C,2,REPUBLICAN,105631.7,0.0,106348.63,0.0,0.0,-716.93,51069.07,0.0,0.0,0.0,0.0,0.0,53262.76,ID,02,1040.0,0.0,12/31/2024,0.0,0.0
H8ID02064,"SIMPSON, MICHAEL",I,2,REPUBLICAN,1555834.51,35085.72,1589029.24,323337.11,138400.45,105205.72,0.0,0.0,0.0,0.0,0.0,0.0,625948.79,ID,02,894800.0,0.0,12/31/2024,12000.0,0.0
H2IL01349,"JACKSON, JONATHAN",I,1,DEMOCRAT,654094.58,0.0,601509.69,62500.0,1103.2,53688.09,0.0,0.0,0.0,55000.0,0.0,27000.0,303724.26,IL,01,347300.0,0.0,12/31/2024,13418.52,23700.0
H2IL02172,"KELLY, ROBIN",I,1,DEMOCRAT,1923741.97,0.0,1355795.73,0.0,1447164.73,2015110.97,716.45,0.0,0.0,0.0,0.0,0.0,666154.78,IL,02,1235556.11,0.0,12/31/2024,14738.1,8165.0
H2IL03162,"RAMIREZ, DELIA",I,1,DEMOCRAT,1131488.61,39000.0,782619.54,0.0,118702.33,467571.4,0.0,0.0,0.0,0.0,0.0,0.0,682287.73,IL,03,401517.97,1000.0,12/31/2024,8166.95,0.0
H4IL03101,"BOORAS, JOHN MR.",C,2,REPUBLICAN,38596.8,0.0,39492.29,0.0,0.0,150.0,0.0,29506.39,0.0,0.0,0.0,29506.39,9090.41,IL,03,0.0,0.0,11/25/2024,0.0,0.0
H8IL04134,"GARCIA, JESUS",I,1,DEMOCRAT,863042.92,0.0,852232.18,0.0,25024.79,35835.53,0.0,0.0,0.0,0.0,0.0,0.0,375792.56,IL,04,423211.0,0.0,12/31/2024,4608.48,500.0
H8IL04167,"LOPEZ, RAYMOND",C,1,DEMOCRAT,82544.0,0.0,82544.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,81544.0,IL,04,0.0,1000.0,10/15/2024,0.0,0.0
H0IL05096,"QUIGLEY, MIKE",I,1,DEMOCRAT,1093681.39,0.0,1097958.34,0.0,1185460.34,1181183.39,0.0,0.0,0.0,0.0,0.0,0.0,363190.52,IL,05,717487.5,0.0,12/31/2024,250.0,0.0
H2IL05225,"CRUZ, JERICO MATIAS",C,1,DEMOCRAT,36006.12,0.0,18903.07,0.0,-14447.13,25.36,300.0,18610.18,16990.94,1573.59,17330.76,17486.59,105.0,IL,05,0.0,0.0,01/04/2025,0.0,0.0
H4IL05163,"WOZNICZKA, DANIEL",C,1,DEMOCRAT,304378.68,0.0,304378.68,0.0,0.0,0.0,0.0,0.0,290000.0,0.0,274457.16,15542.84,14378.68,IL,05,0.0,0.0,12/31/2023,0.0,0.0
H8IL05073,"HANSON, TOM",C,2,REPUBLICAN,4990.1,0.0,4954.89,0.0,2045.88,2009.85,2390.1,0.0,0.0,4000.0,0.0,14000.0,2600.0,IL,05,0.0,0.0,10/20/2024,0.0,0.0
H0IL03133,"HUGHES, CHARLES M",C,1,DEMOCRAT,7946.72,0.0,2954.33,0.0,486.41,0.0,4746.0,0.0,0.0,21105.51,0.0,0.0,0.0,IL,06,0.0,0.0,05/07/2024,0.0,0.0
H4IL06120,"AHMAD, MAHNOOR",C,1,DEMOCRAT,97025.26,0.0,97025.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97025.26,IL,06,0.0,0.0,08/12/2024,0.0,0.0
H8IL03102,"NEWMAN, MARIE",C,1,DEMOCRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IL,06,0.0,0.0,06/26/2023,0.0,0.0
H8IL06139,"CASTEN, SEAN",I,1,DEMOCRAT,3128625.05,7704.54,2488898.72,0.0,54416.17,694142.5,0.0,0.0,0.0,0.0,0.0,75694.37,1976036.77,IL,06,1002268.53,2000.0,12/31/2024,22695.0,5000.0
H2IL06090,"CONFORTI, NIKI",C,2,REPUBLICAN,155698.74,0.0,150507.06,0.0,10.14,5201.82,0.0,8000.0,0.0,8000.0,0.0,9300.0,137673.74,IL,06,7900.0,0.0,12/31/2024,0.0,0.0
H0IL07167,"COLLINS, KINA",C,1,DEMOCRAT,860648.28,0.0,860672.8,0.0,0.0,-24.52,0.0,0.0,0.0,0.0,0.0,0.0,858898.28,IL,07,1750.0,0.0,06/30/2024,0.0,0.0
H4IL07037,"DAVIS, DANNY K. MR.",I,1,DEMOCRAT,863135.13,0.0,978044.57,0.0,220637.76,105728.32,0.0,45000.0,0.0,37500.0,0.0,66454.71,365516.01,IL,07,448612.85,0.0,12/31/2024,4001.0,3400.0
H4IL07177,"CONYEARS-ERVIN, MELISSA",C,1,DEMOCRAT,738802.64,0.0,730069.84,0.0,0.0,8732.8,0.0,0.0,0.0,0.0,0.0,0.0,723980.66,IL,07,12750.0,0.0,12/31/2024,34300.0,0.0
H4IL07193,"BHATIA, NIKHIL",C,1,DEMOCRAT,160634.85,0.0,161102.35,0.0,0.0,-4099.46,53697.85,0.0,0.0,0.0,0.0,0.0,106437.0,IL,07,500.0,0.0,12/31/2024,0.0,0.0
H4IL07201,"MARSHALL, KOURI MR.",C,1,DEMOCRAT,131321.9,0.0,131321.9,0.0,0.0,0.0,4800.0,15000.0,0.0,0.0,0.0,0.0,111521.9,IL,07,0.0,0.0,09/30/2024,0.0,0.0
H6IL08147,"KRISHNAMOORTHI, S. RAJA",I,1,DEMOCRAT,10897838.27,0.0,4973013.29,1000.0,11186669.45,17111494.43,0.0,0.0,0.0,0.0,0.0,0.0,8497640.82,IL,08,1159253.0,0.0,12/31/2024,71239.0,2500.0
H4IL08159,"RICE, MARK",C,2,REPUBLICAN,281464.08,0.0,179850.32,0.0,0.0,101613.76,0.0,152350.0,0.0,0.0,0.0,152350.0,128614.08,IL,08,500.0,0.0,12/31/2024,0.0,0.0
H4IL09082,"DONAHUE, MICHAEL",C,1,DEMOCRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IL,09,0.0,0.0,12/31/2023,0.0,0.0
H8IL09067,"SCHAKOWSKY, JANICE D",I,1,DEMOCRAT,1557667.59,0.0,1610398.83,0.0,900705.42,847974.18,0.0,0.0,0.0,0.0,0.0,0.0,1049033.26,IL,09,503401.41,0.0,12/31/2024,6963.52,0.0
H4IL09090,"COHEN, SETH ALAN",C,2,REPUBLICAN,12108.78,0.0,7900.4,0.0,505.09,4713.47,0.0,100.0,0.0,0.0,0.0,100.0,12008.78,IL,09,0.0,0.0,12/31/2024,0.0,0.0
H2IL10068,"SCHNEIDER, BRADLEY S.",I,1,DEMOCRAT,3855356.96,11400.0,2993596.24,0.0,109665.37,971426.09,0.0,0.0,0.0,0.0,0.0,0.0,2242846.93,IL,10,1597101.07,0.0,12/31/2024,12362.0,2000.0
H4IL10098,"CARRIS, JIM",C,2,REPUBLICAN,680779.3,0.0,680779.3,0.0,0.0,0.0,6600.0,0.0,0.0,0.0,0.0,0.0,659770.29,IL,10,11700.0,0.0,12/31/2024,3450.0,0.0
H4IL11260,"RASHID, QASIM",C,1,DEMOCRAT,1000614.33,0.0,1001488.54,0.0,0.0,-874.21,3022.0,0.0,0.0,0.0,0.0,124248.23,992519.95,IL,11,5000.0,0.0,12/31/2024,38808.0,0.0
H8IL14067,"FOSTER, G. WILLIAM (BILL)",I,1,DEMOCRAT,3282466.22,5400.0,2537016.89,0.0,805115.33,1550564.66,0.0,0.0,0.0,0.0,8075.0,1017994.89,2047764.33,IL,11,1156151.0,0.0,12/31/2024,41820.0,500.0
H0IL11128,"BANSAL, KRISHNA K",C,2,REPUBLICAN,0.0,0.0,0.0,0.0,22609.59,22609.59,0.0,0.0,0.0,0.0,0.0,35754.73,0.0,IL,11,0.0,0.0,12/31/2024,0.0,0.0
H0IL14213,"EVANS, JERRY",C,2,REPUBLICAN,636765.02,0.0,636193.0,0.0,0.0,572.02,0.0,22600.0,0.0,22600.0,0.0,0.0,562494.4,IL,11,51350.0,0.0,12/31/2024,15420.51,150.0
H2IL11264,"HATHAWAY-ALTMAN, SUSAN",C,2,REPUBLICAN,65113.52,0.0,60218.35,0.0,0.0,4895.17,0.0,56694.33,0.0,26384.82,0.0,30309.51,8419.19,IL,11,0.0,0.0,12/31/2024,0.0,0.0
H2IL11272,"MERCADO, O KENT DR",C,2,REPUBLICAN,75181.57,0.0,75181.57,0.0,0.0,0.0,0.0,51318.97,0.0,250.0,0.0,51068.97,22031.0,IL,11,0.0,0.0,05/02/2024,10.0,0.0
H4IL12060,"BOST, MICHAEL",I,2,REPUBLICAN,3157655.8,91921.38,3195230.92,0.0,389871.13,352296.01,0.0,0.0,0.0,0.0,0.0,0.0,1438593.17,IL,12,1581352.62,250.0,12/31/2024,31300.0,6877.16
H4IL12078,"BAILEY, DARREN",C,2,REPUBLICAN,640198.16,0.0,640196.98,0.0,0.0,1.18,905.0,215000.0,0.0,200.0,0.0,214800.0,418905.58,IL,12,5355.0,0.0,12/31/2024,52594.49,0.0
H2IL13153,"BUDZINSKI, NIKKI",I,1,DEMOCRAT,4337253.92,119769.53,2594263.83,0.0,41742.26,1784732.35,0.0,0.0,0.0,0.0,0.0,0.0,2577542.24,IL,13,1611074.8,13215.12,12/31/2024,28662.11,14944.79
H4IL13241,"LOYD, JOSHUA",C,2,REPUBLICAN,90607.54,0.0,88886.09,0.0,0.0,369.38,17672.46,0.0,0.0,0.0,0.0,0.0,71948.0,IL,13,750.0,55.0,12/31/2024,0.0,0.0
H4IL13258,"CLATTERBUCK, THOMAS",C,2,REPUBLICAN,45595.81,0.0,42938.72,0.0,0.0,0.0,44500.57,0.0,0.0,0.0,0.0,0.0,1095.24,IL,13,0.0,0.0,04/04/2024,0.0,0.0
H8IL14174,"UNDERWOOD, LAUREN",I,1,DEMOCRAT,4158558.79,230488.24,3890542.92,0.0,787086.15,1055102.02,419.39,0.0,0.0,0.0,0.0,0.0,3321444.51,IL,14,509056.16,0.0,12/31/2024,40067.39,3500.0
H2IL16081,"LOMBARDI, JACK MR II",C,2,REPUBLICAN,511.42,0.0,0.0,0.0,0.0,511.42,222.42,0.0,0.0,0.0,0.0,0.0,289.0,IL,14,0.0,0.0,06/30/2023,0.0,0.0
H4IL11245,"KIM, CHARLES",C,2,REPUBLICAN,85421.44,0.0,85633.7,0.0,0.0,0.0,0.0,81754.67,0.0,19665.45,0.0,63997.17,3666.77,IL,14,0.0,0.0,12/31/2024,0.0,0.0
H4IL14140,"LEIV, MATTHEW",C,2,REPUBLICAN,63209.62,0.0,62433.09,0.0,0.0,776.53,35073.62,0.0,0.0,0.0,0.0,0.0,28136.0,IL,14,0.0,0.0,09/30/2023,250.0,0.0
